HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
합계 : 기획실수탁고분류	열 레이블						합계 : 순자산(후)	열 레이블											행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00										
운용2팀	139132.25161587	163742.43703908997	149248.96376954997	149986.41739144002	150924.02552854	174220.07034492	23000.0	-0.5573222395891296	-12818.41151054998	1675.0617589900212	937.6081370999746								한국투자ACE2월만기자동연장회사채(AA-이상)액티브증권상장지수	489.55746162	503.56271965	14.005258029999993		한국투자베이직일반사모증권투자신탁132호(채권)	800.0	800.0	0.0		한국투자MAN다이나믹인컴증권모투자신탁(USD)(채권-재간접형)	4740.85033548	3089.8421291	-1651.0082063799996									
펀드	66955.97312716	91245.17740029999	76158.33918558998	76360.77885284001	77806.1645454	77323.48344992	15000.0	-0.8697462316599985	-13439.012854899993	1647.8253598100127	1445.385692559983								채권형(채권3)	1322.95486861	1195.51788197	-127.43698663999999		한국투자베이직일반사모증권투자신탁130호(채권)	1000.0	1000.0	0.0		한국투자미국하이일드증권모투자신탁(USD)(채권-재간접형)	13.55710552	11.5309614	-2.0261441199999997									
일임	72176.27848871	71236.81774974999	71700.88707049	72138.22577108	71629.63712975	95408.36304161			392.81938000001537	-71.24994074000278	-508.58864133000316								한국투자신종개인용MMF1호(국공채)(모)	1001.38909354	989.12694176	-12.262151779999954		한국투자베이직일반사모증권투자신탁127호(채권)	1100.07105045	1005.00355253	-95.06749792000005		한국투자ACE미국10년국채액티브증권상장지수투자신탁(채권)	582.89114402	1045.91002842	463.01888439999993									
ETF	0.0	1260.44188904	1389.73751347	1487.41276752	1488.22385339	1488.22385339	8000.0	0.028472745543749994	227.78196434999995	98.48633991999986	0.8110858699999426								한국투자신종개인용MMF10호(모)	12963.95640824	14841.22965209	1877.2732438500007		한국투자베이직일반사모증권투자신탁125호(채권)	1000.0	1000.0	0.0		한국투자ACE미국10년국채액티브증권상장지수투자신탁(채권)(H)	182.76579067	343.51629146	160.75050079									
해외FI운용팀	44620.87512142	72203.52903883	82195.70321677998	83521.86247209	81540.42460964	81907.06668846	20000.0	0.4668447785404998	9336.895570809997	-655.2786071399751	-1981.437862449995								한국투자신종개인용MMF3호(모)	1879.32902352	1791.83406873	-87.49495479000007		한국투자베이직일반사모증권투자신탁124호(채권)	1326.85605152	1505.2021627	178.34611117999998		한국투자글로벌채권일반사모증권투자신탁CW-2호(채권-재간접형)	300.0	200.82021681	-99.17978319									
펀드	13415.124568469997	22458.89921371	26702.715695149993	26664.987980799997	27585.765447569996	27061.95279773	5000.0	1.2260123177839997	5126.866233859997	883.0497524200036	920.7774667699996								한국투자신종법인용MMF1(모)	1310.03486565	1711.69273721	401.6578715599999		한국투자베이직일반사모증권투자신탁123호(채권)	1000.0	1000.0	0.0		한국투자CapitalGroup글로벌하이일드오퍼튜니티증권모투자신탁(USD)(채권-재간접형)	115.34182293	87.67810263	-27.66372030000001									
일임	2048.21516983	2036.7963876899998	1955.08767269	2169.4267373000002	2184.05228018	2334.19282587			147.25589248999995	228.9646074899997	14.625542879999557								한국투자법인용MMF2호(국공채)(모)	26151.57661866	46995.10385063	20843.52723197		한국투자베이직일반사모증권투자신탁120호(채권형)	1000.0		-1000.0		한국투자WF일반사모증권투자신탁5호(채권-재간접형)	520.22567882	590.39659778	70.17091896									
MMF	4102.11171872	3867.28250516	6080.443575550001	5821.700153809999	4723.22196773	5463.5361507			855.9394625700002	-1357.2216078200008	-1098.4781860799994								한국투자라이프플랜증권투자신탁1호(채권)(모)	309.65342873	425.08827264	115.43484391000004		한국투자베이직일반사모증권투자신탁118호(채권)	1847.9860023	1958.9230278	110.93702549999989		투자풀ESG글로벌ETF일반사모증권투자신탁제1-1호H(채권-재간접형	824.73887218	637.26650903	-187.4723631500001									
ETF	25055.423664400005	43840.55093227	47457.456273389995	48865.74760018	47047.38491416	47047.38491416	15000.0	0.2137889321259999	3206.8339818899985	-410.0713592299944	-1818.362686020002								한국투자골드플랜연금증권전환형투자신탁1(국공채)(모)	202.24185578	185.21758971	-17.02426607000001		한국투자뉴에이스일반사모증권투자신탁9호(채권)(모)		1050.0	1050.0		한국투자GoldmanSachs글로벌하이일드인컴증권모투자신탁(USD)(채권)	772.89051419	330.48525051	-442.40526367999996									
본부 계	269315.74075639003	349940.9091738	379740.35192223993	361698.0672142299	369703.47456823	395615.04160576	68000.0	0.2906259616827935	19762.565394429956	-10036.87735400995	8005.407354000083								한국투자엄브렐러증권전환형1(채혼)(모)	43.29992899	40.27215728	-3.027771709999996		한국투자뉴에이스일반사모증권투자신탁8호(채권)(모)	1040.0	1040.0	0.0		한국투자옐로우엄브렐라글로벌채권일반사모투자신탁1호		1483.99164229	1483.99164229									
