																																																		
	Fixed Income  운용본부 수탁고 현황																																																	
 	FI운용1부 김현수								 		2026-07-14 00:00:00+00:00																																							
																																																		
	Fixed Income 부서별 수탁고										(설정액 기준/ 단위: 억원)																																							
	구분	2024YE	2025YE	2Q2026	6M2026	2026-07-14 00:00:00+00:00	NAV	2026목표	달성률	YTD	QTD	MTD																																						
	ETF	25055.423664400005	43840.55093227	48865.74760018	48865.74760018	47047.38491416	47047.38491416	15000.0	0.2137889321259999	3206.8339818899985	-1818.362686020002	-1818.362686020002																																						
	본부 계	269315.74075639003	349940.9091738	361698.0672142299	361698.0672142299	369703.47456823	395615.04160576	68000.0	0.2906259616827935	19762.565394429956	8005.407354000083	8005.407354000083																																						
	펀드	109073.78338680998	137583.29975863	125943.56607088	125943.56607088	127532.77771002999	126722.94928955	35000.0	0.37307234492714236	-10050.522048600003	1589.2116391499876	1589.2116391499876																																						
	일임	82100.58154138	84706.97929907999	84729.94199474	84729.94199474	84230.38743547	108753.86396180002			-476.5918636099959	-499.5545592700073	-499.5545592700073																																						
	MMF	36396.893546249994	63861.22230592001	78067.30399612	78067.30399612	87445.86829058	89643.78722226			23584.645984659983	9378.564294459997	9378.564294459997																																						
	ETF	41744.482281950004	63789.40781017	72957.25515249	72957.25515249	70494.44113215001	91132.01107564999	33000.0	0.20318282793878814	6705.033321980009	-2462.814020339996	-2462.814020339996																																						
																																																		
	Fixed Income 유형별 수탁고										(설정액 기준/ 단위: 억원)																																							
	구분	운용1부			운용2부			해외운용부			증감	본부합																																						
		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	YTD	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	YTD	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	YTD																																								
	채권	32081.579464470004	30013.29006546999	-2068.289399000012	132883.46019227	117490.69852903999	-15392.761663230005	2706.9690777399996	4363.494719709999	1656.5256419699995	-15804.525420260017	151867.48331421998																																						
	채권파생	1023.6289821	403.93309513	-619.69588697	2381.5597615	2381.5597615	0.0	1935.94286364	2103.0383558500002	167.0954922100002	-452.60039475999974	4888.53121248																																						
	채권혼합	43.28463455	40.25818817	-3.026446380000003			0.0			0.0	-3.026446380000003	40.25818817																																						
	변액보험	1969.8490434599998	1892.5400179599997	-77.30902550000019	27216.97519628	29563.54338461	2346.5681883299985	110.35224737000001	257.60813986	147.25589248999998	2416.5150553199983	31713.69154243																																						
	재간접	182.30754005	197.31339873	15.005858679999989			0.0	19476.00813241	21124.452889329998	1648.4447569199983	1663.4506155999984	21321.766288059996																																						
	주식혼합	11.938641630000001	10.210977139999999	-1.7276644900000022			0.0			0.0	-1.7276644900000022	10.210977139999999																																						
	ETF	18688.414988859997	21958.832364600003	3270.417375740006	1260.44188904	1488.22385339	227.78196434999995	43840.55093227	47047.38491416	3206.8339818899985	6705.033321980004	70494.44113215001																																						
	MMF	59993.93980076001	82722.64632284999	22728.706522089982			0.0	3867.28250516	4723.22196773	855.9394625700002	23584.645984659983	87445.86829058																																						
	재간접파생							266.42328024	437.23198071																																									
	혼합자산			0.0			0.0		1483.99164229	1483.99164229	1483.99164229	1483.99164229																																						
	총합계	113994.94309588001	137239.02443005	23244.081334169983	163742.43703908997	150924.02552854	-12818.41151054998	72203.52903882999	81540.42460964	9336.895570810011	19762.565394430014	369703.47456823																																						
																																																		
	YTD 수탁고 증감 상/하위 5																																																	
	상위 10		(단위: 억 원)			하위 10		(단위: 억 원)			소속																																							
			2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감			2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감																																								
	법인용MMF2호(국공채)(모)		26151.57661866	46995.10385063	20843.52723197	ACE26-06회사채(AA-이상)액티브증권상장지수투자신탁(채		1717.6486722	0.0	-1717.6486722	1부																																							
	ACEKIS종합채권(AA-이상)액티브증권상장지수투자신탁		8107.13524666	10708.88488495	2601.749638289999	옐로우엄브렐라국내채권일반사모1호(채권)		1220.58483386	0.0	-1220.58483386																																								
	ACE머니마켓액티브증권상장지수투자신탁(채권)		4651.03870393	6895.87586513	2244.8371612	RF전문투자형사모제1호(국공채)		1179.30829002	0.0	-1179.30829002																																								
	채안회사채전문투자형사모1호(채권)		9922.84379027	12088.02580148	2165.1820112099995	매칭형일반사모CW-2호(채권-파생형)		1023.6289821	0.0	-1023.6289821																																								
	신종개인용MMF10호(모)		12963.95640824	14841.22965209	1877.2732438500007	예금보험기금 국내채권형 유니버스 11호(은행)		3386.53014609	2463.67403245	-922.8561136399999																																								
	베이직일반사모137호(채권)		0.0	2002.63267774	2002.63267774	크레딧포커스증권모투자신탁(채권)		28095.51744567	9622.66018784	-18472.85725783	2부																																							
	RF전문투자형사모제1호(국공채)		0.0	1781.30132158	1781.30132158	연기금일반사모제195-10호(채권)		2004.83269246	0.0	-2004.83269246																																								
	MF전문투자형사모3호(채권)		4596.7196875	6299.31070724	1702.5910197399999	WF단기일반사모6호(채권)		1587.39715094	0.0	-1587.39715094																																								
	교보생명 VUL종신보험혼합형_채권		2320.46071725	3553.01905945	1232.5583422	뉴에이스일반사모6호(채권)(모)		1040.0	0.0	-1040.0																																								
	한화변액연금Ⅱ 채권형Ⅳ(신탁채권)		0.0	1219.11133877	1219.11133877	베이직일반사모120호(채권형)		1000.0	0.0	-1000.0																																								
	ACE미국S&P500채권혼합액티브증권ETF(채권혼합)		7318.50441649	12341.61831752	5023.11390103	ACE미국30년국채액티브증권상장지수투자신탁(H)		21997.36072677	15495.32537279	-6502.03535398	해외																																							
	ACE미국나스닥100채권혼합액티브ETF(채권혼합)		5083.96959149	9391.79461009	4307.8250186000005	MAN다이나믹인컴증권모투자신탁(USD)(채권-재간접형)		4740.85033548	3089.8421291	-1651.0082063799996																																								
	옐로우엄브렐라글로벌채권일반사모투자신탁1호		0.0	1483.99164229	1483.99164229	GoldmanSachs글로벌하이일드인컴증권모투자신탁(USD)(채권)		772.89051419	330.48525051	-442.40526367999996																																								
	베이직일반사모134호(USD)(채권)		0.0	1076.453	1076.453	ACE미국30년국채엔화노출액티브증권상장지수투자신탁[		962.12684154	630.31277704	-331.8140645																																								
	베이직일반사모111호(채권-재간접형)		3862.91740893	4720.33905136	857.4216424299998	ACE미국30년국채액티브증권상장지수투자신탁(채권)		3406.49877101	3107.1393234	-299.35944760999973																																								
																																																		
	사모/일임 수익자분류																																																	
	수익자	(단위: 억 원)			수익자	(단위: 억 원)			수익자	(단위: 억 원)																																								
		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감																																						
	국민연금	28921.841095929998	28342.80546268	-579.0356332499978	삼성생명	10320.062331259998	11125.353507009999	805.2911757500005	NH농협은행	1992.6399999999999	1994.26	1.6200000000001182																																						
	노동부(산재)	16415.22470173	18562.17681316	2146.9521114300005	교보생명	7815.59946688	8352.52547014	536.9260032600005	카카오뱅크	2000.0	2000.0	0.0																																						
	노동부(고용보험)	6206.339831779999	7626.09082591	1419.7509941300004	한화생명	7250.52356661	7063.439794989999	-187.08377162000033	광주은행	0.0	0.0	0.0																																						
	연기금풀(미래)	30379.74830837	33115.67474207	2735.9264336999986	라이나생명	5210.24032638	5377.59691246	167.35658607999994	경남은행	500.0	500.0	0.0																																						
	연기금풀(삼성)	6098.10654869	4009.13148461	-2088.97506408	KB라이프	3854.74171655	4357.26540789	502.52369133999946	부산은행	292.64	294.26	1.6200000000000045																																						
	국토부(미래)	6597.23103398	4987.6771045099995	-1609.5539294700002	푸본현대생명	775.47349407	11.30882197	-764.1646721	아이엠뱅크	300.0	300.0	0.0																																						
	국토부(NH)	6148.24931887	7930.93675982	1782.6874409499997	산림조합중앙회	0.0	495.91765197999996	495.91765197999996	기업은행	251.61911397	312.71742423	61.098310260000005																																						
	우정사업본부	9518.65601082	9518.65601082	0.0	삼성화재	88.79931298	81.23640578	-7.562907199999998	신협중앙회	1000.0	1000.0	0.0																																						
	채권시장안정펀드	9922.84379027	12088.02580148	2165.1820112099995	DB생명	17.38326166	17.50237062	0.11910896000000193	중소기업중앙회	1220.58483386	1483.99164229	263.4068084300002																																						
