HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
운용2팀	=B18	=C18	=D18	=E18	=F18	=I18/100000000	=SUM(H37:H39)	=IF(H36="","",J36/H36)	=$F36-C36	=$F36-D36	=F36-E36								한국투자ACE2월만기자동연장회사채(AA-이상)액티브증권상장지수	489.55746162	503.56271965	=IF(T36="","",(V36-U36))		한국투자베이직일반사모증권투자신탁132호(채권)	800	800	=IF(Y36="","",(AA36-Z36))		한국투자MAN다이나믹인컴증권모투자신탁(USD)(채권-재간접형)	4740.85033548	3089.8421291	=IF(AD36="","",(AF36-AE36))									
펀드	=B19	=C19	=D19	=E19	=F19	=I19/100000000	15000	=IF(H37="","",(J37+J38)/H37)	=$F37-C37	=$F37-D37	=F37-E37								채권형(채권3)	1322.95486861	1195.51788197	=IF(T37="","",(V37-U37))		한국투자베이직일반사모증권투자신탁130호(채권)	1000	1000	=IF(Y37="","",(AA37-Z37))		한국투자미국하이일드증권모투자신탁(USD)(채권-재간접형)	13.55710552	11.5309614	=IF(AD37="","",(AF37-AE37))									
일임	=B20	=C20	=D20	=E20	=F20	=I20/100000000		=IF(H38="","",J38/H38)	=$F38-C38	=$F38-D38	=F38-E38								한국투자신종개인용MMF1호(국공채)(모)	1001.38909354	989.12694176	=IF(T38="","",(V38-U38))		한국투자베이직일반사모증권투자신탁127호(채권)	1100.07105045	1005.00355253	=IF(Y38="","",(AA38-Z38))		한국투자ACE미국10년국채액티브증권상장지수투자신탁(채권)	582.89114402	1045.91002842	=IF(AD38="","",(AF38-AE38))									
ETF	=B21	=C21	=D21	=E21	=F21	=I21/100000000	8000	=IF(H39="","",J39/H39)	=$F39-C39	=$F39-D39	=F39-E39								한국투자신종개인용MMF10호(모)	12963.95640824	14841.22965209	=IF(T39="","",(V39-U39))		한국투자베이직일반사모증권투자신탁125호(채권)	1000	1000	=IF(Y39="","",(AA39-Z39))		한국투자ACE미국10년국채액티브증권상장지수투자신탁(채권)(H)	182.76579067	343.51629146	=IF(AD39="","",(AF39-AE39))									
해외FI운용팀	=B22	=C22	=D22	=E22	=F22	=I22/100000000	=SUM(H41:H44)	=IF(H40="","",J40/H40)	=$F40-C40	=$F40-D40	=F40-E40								한국투자신종개인용MMF3호(모)	1879.32902352	1791.83406873	=IF(T40="","",(V40-U40))		한국투자베이직일반사모증권투자신탁124호(채권)	1326.85605152	1505.2021627	=IF(Y40="","",(AA40-Z40))		한국투자글로벌채권일반사모증권투자신탁CW-2호(채권-재간접형)	300	200.82021681	=IF(AD40="","",(AF40-AE40))									
펀드	=B23	=C23	=D23	=E23	=F23	=I23/100000000	5000	=SUM(J41:J43)/H41	=$F41-C41	=$F41-D41	=F41-E41								한국투자신종법인용MMF1(모)	1310.03486565	1711.69273721	=IF(T41="","",(V41-U41))		한국투자베이직일반사모증권투자신탁123호(채권)	1000	1000	=IF(Y41="","",(AA41-Z41))		한국투자CapitalGroup글로벌하이일드오퍼튜니티증권모투자신탁(USD)(채권-재간접형)	115.34182293	87.67810263	=IF(AD41="","",(AF41-AE41))									
일임	=B24	=C24	=D24	=E24	=F24	=I24/100000000		=IF(H42="","",J42/H42)	=$F42-C42	=$F42-D42	=F42-E42								한국투자법인용MMF2호(국공채)(모)	26151.57661866	46995.10385063	=IF(T42="","",(V42-U42))		한국투자베이직일반사모증권투자신탁120호(채권형)	1000		=IF(Y42="","",(AA42-Z42))		한국투자WF일반사모증권투자신탁5호(채권-재간접형)	520.22567882	590.39659778	=IF(AD42="","",(AF42-AE42))									
MMF	=B25	=C25	=D25	=E25	=F25	=I25/100000000		=IF(H43="","",J43/H43)	=$F43-C43	=$F43-D43	=F43-E43								한국투자라이프플랜증권투자신탁1호(채권)(모)	309.65342873	425.08827264	=IF(T43="","",(V43-U43))		한국투자베이직일반사모증권투자신탁118호(채권)	1847.9860023	1958.9230278	=IF(Y43="","",(AA43-Z43))		투자풀ESG글로벌ETF일반사모증권투자신탁제1-1호H(채권-재간접형	824.73887218	637.26650903	=IF(AD43="","",(AF43-AE43))									
ETF	=B26	=C26	=D26	=E26	=F26	=I26/100000000	15000	=IF(H44="","",J44/H44)	=$F44-C44	=$F44-D44	=F44-E44								한국투자골드플랜연금증권전환형투자신탁1(국공채)(모)	202.24185578	185.21758971	=IF(T44="","",(V44-U44))		한국투자뉴에이스일반사모증권투자신탁9호(채권)(모)		1050	=IF(Y44="","",(AA44-Z44))		한국투자GoldmanSachs글로벌하이일드인컴증권모투자신탁(USD)(채권)	772.89051419	330.48525051	=IF(AD44="","",(AF44-AE44))									
본부 계	=B27	=C27	=D27	=E27	=F27	=I27/100000000	=H31+H36+H40	=IF(H45="","",J45/H45)	=$F45-C45	=$F45-D45	=F45-E45								한국투자엄브렐러증권전환형1(채혼)(모)	43.29992899	40.27215728	=IF(T45="","",(V45-U45))		한국투자뉴에이스일반사모증권투자신탁8호(채권)(모)	1040	1040	=IF(Y45="","",(AA45-Z45))		한국투자옐로우엄브렐라글로벌채권일반사모투자신탁1호		1483.99164229	=IF(AD45="","",(AF45-AE45))									
펀드	=B32+B37+B41	=C32+C37+C41	=D32+D37+D41	=E32+E37+E41	=F32+F37+F41	=G32+G37+G41	=SUM(H32,H37,H41)	=IF(H46="","",(SUM(J46:J48)/H46))	=$F46-C46	=$F46-D46	=F46-E46								한국투자신종개인용MMF5호(모)	2263.58243025	2558.05138554	=IF(T46="","",(V46-U46))		한국투자뉴에이스일반사모증권투자신탁7호(채권)(모)	1049.2542192	1048.50536919	=IF(Y46="","",(AA46-Z46))		연기금일반사모달러MMF제1호(USD)		92.99685744	=IF(AD46="","",(AF46-AE46))									
일임	=B33+B38+B42	=C33+C38+C42	=D33+D38+D42	=E33+E38+E42	=F33+F38+F42	=G33+G38+G42			=$F47-C47	=$F47-D47	=F47-E47								무배당KB퇴직연금실적배당보험 채권형(모)	12.71206234	7.87000037	=IF(T47="","",(V47-U47))		한국투자뉴에이스일반사모증권투자신탁6호(채권)(모)	1040		=IF(Y47="","",(AA47-Z47))		한국투자ACE미국나스닥100채권혼합액티브ETF(채권혼합)	5083.96959149	9391.79461009	=IF(AD47="","",(AF47-AE47))									
MMF	=B34+B43	=C34+C43	=D34+D43	=E34+E43	=F34+F43	=G34+G43		=IF(H48="","",J48/H48)	=$F48-C48	=$F48-D48	=F48-E48								삼성화재퇴직연금MMF재간접형(모)	43.78807502	40.0349436	=IF(T48="","",(V48-U48))		한국투자뉴에이스일반사모증권투자신탁10호(채권)(모)		1050	=IF(Y48="","",(AA48-Z48))		한국투자ACE미국S&P500채권혼합액티브증권ETF(채권혼합)	7318.50441649	12341.61831752	=IF(AD48="","",(AF48-AE48))									
ETF	=B35+B39+B44	=C35+C39+C44	=D35+D39+D44	=E35+E39+E44	=F35+F39+F44	=G34+G39+G43	=SUM(H35,H44,H39)	=IF(H49="","",J49/H49)	=$F49-C49	=$F49-D49	=F49-E49								프로미퇴직연금실적배당채권형2호(모)	4.71473833	3.42155158	=IF(T49="","",(V49-U49))		한국투자금리연계전문투자형사모증권투자신탁17호(채권)	681.54260051	681.54260051	=IF(Y49="","",(AA49-Z49))		한국투자ACE미국달러단기채권액티브증권상장지수투자신탁(채	414.40667976	448.58237746	=IF(AD49="","",(AF49-AE49))									
